iter	Passed	Remaining
418	2457	3408
419	2462	3401
420	2468	3394
421	2473	3388
422	2479	3382
423	2485	3376
424	2491	3370
425	2496	3364
426	2502	3358
427	2508	3352
428	2513	3345
429	2519	3340
430	2525	3333
431	2530	3327
432	2536	3321
433	2541	3314
434	2546	3308
435	2552	3301
436	2558	3296
437	2564	3289
438	2570	3284
439	2575	3278
440	2581	3272
441	2587	3266
442	2593	3260
443	2599	3254
444	2605	3249
445	2610	3243
446	2616	3236
447	2622	3231
448	2628	3225
449	2633	3218
450	2639	3213
451	2644	3206
452	2650	3200
453	2655	3193
454	2661	3187
455	2666	3181
456	2672	3175
457	2678	3169
458	2683	3162
459	2689	3157
460	2695	3151
461	2701	3145
462	2707	3140
463	2712	3133
464	2718	3127
465	2723	3120
466	2728	3114
467	2734	3108
468	2740	3102
469	2746	3096
470	2751	3090
471	2757	3084
472	2762	3078
473	2769	3072
474	2774	3066
475	2780	3061
476	2786	3055
477	2792	3049
478	2798	3043
479	2804	3038
480	2809	3031
481	2815	3026
482	2822	3020
483	2827	3014
484	2833	3008
485	2839	3002
486	2845	2996
487	2850	2991
488	2856	2984
489	2860	2977
490	2866	2971
491	2871	2965
492	2877	2959
493	2884	2954
494	2889	2948
495	2895	2942
496	2901	2936
497	2906	2929
498	2912	2924
499	2919	2919
500	2924	2912
501	2929	2906
502	2935	2900
503	2941	2894
504	2947	2888
505	2952	2882
506	2957	2876
507	2963	2869
508	2969	2864
509	2975	2858
510	2981	2852
511	2986	2846
512	2992	2840
513	2998	2835
514	3004	2829
515	3009	2822
516	3014	2816
517	3021	2811
518	3026	2805
519	3032	2799
520	3037	2792
521	3043	2786
522	3050	2781
523	3055	2775
524	3061	2769
525	3067	2763
526	3073	2758
527	3079	2752
528	3085	2746
529	3090	2740
530	3096	2735
531	3102	2729
532	3107	2723
533	3113	2717
534	3118	2710
535	3124	2704
536	3130	2699
537	3136	2693
538	3142	2687
539	3147	2681
540	3152	2675
541	3158	2669
542	3163	2662
543	3169	2657
544	3175	2651
545	3181	2645
546	3186	2639
547	3191	2632
548	3197	2626
549	3202	2620
550	3208	2614
551	3213	2608
552	3219	2602
553	3224	2595
554	3229	2589
555	3235	2583
556	3240	2577
557	3246	2571
558	3251	2565
559	3257	2559
560	3262	2553
561	3268	2547
562	3275	2542
563	3280	2536
564	3286	2530
565	3292	2524
566	3297	2518
567	3302	2511
568	3308	2505
569	3313	2499
570	3319	2493
571	3324	2487
572	3330	2481
573	3336	2476
574	3341	2469
575	3346	2463
576	3352	2457
577	3357	2451
578	3363	2445
579	3369	2439
580	3375	2434
581	3380	2428
582	3386	2421
583	3391	2415
584	3397	2410
585	3403	2404
586	3408	2398
587	3414	2392
588	3419	2386
589	3426	2380
590	3431	2374
591	3436	2368
592	3442	2362
593	3447	2356
594	3452	2350
595	3458	2344
596	3464	2338
597	3469	2332
598	3476	2327
599	3481	2321
600	3487	2315
601	3493	2309
602	3498	2303
603	3504	2297
604	3509	2291
605	3515	2285
606	3520	2279
607	3526	2273
608	3531	2267
609	3536	2261
610	3542	2255
611	3548	2249
612	3553	2243
613	3559	2237
614	3564	2231
615	3571	2226
616	3577	2220
617	3583	2214
618	3588	2208
619	3594	2203
620	3600	2197
621	3605	2191
622	3611	2185
623	3616	2179
624	3622	2173
625	3628	2167
626	3633	2161
627	3639	2155
628	3644	2149
629	3650	2144
630	3657	2138
631	3663	2133
632	3668	2126
633	3674	2121
634	3679	2115
635	3684	2108
636	3690	2103
637	3696	2097
638	3701	2091
639	3707	2085
640	3712	2079
641	3717	2073
642	3722	2067
643	3728	2061
644	3733	2055
645	3739	2049
646	3744	2043
647	3750	2037
648	3756	2031
649	3762	2026
650	3768	2020
651	3774	2014
652	3781	2009
653	3786	2003
654	3792	1997
655	3797	1991
656	3802	1985
657	3808	1979
658	3813	1973
659	3819	1967
660	3825	1961
661	3831	1956
662	3836	1950
663	3842	1944
664	3848	1938
665	3854	1933
666	3860	1927
667	3866	1921
668	3873	1916
669	3878	1910
670	3883	1904
671	3889	1898
672	3895	1892
673	3901	1887
674	3907	1881
675	3912	1875
676	3917	1868
677	3923	1863
678	3928	1857
679	3934	1851
680	3939	1845
681	3945	1839
682	3950	1833
683	3957	1828
684	3962	1822
685	3968	1816
686	3974	1810
687	3980	1805
688	3986	1799
689	3992	1793
690	3998	1787
691	4003	1782
692	4009	1776
693	4014	1770
694	4020	1764
695	4026	1758
696	4032	1752
697	4037	1746
698	4042	1740
699	4048	1735
700	4054	1729
701	4061	1723
702	4067	1718
703	4072	1712
704	4077	1706
705	4083	1700
706	4088	1694
707	4094	1688
708	4099	1682
709	4105	1677
710	4111	1671
711	4116	1665
712	4122	1659
713	4128	1653
714	4133	1647
715	4139	1641
716	4144	1635
717	4151	1630
718	4157	1624
719	4162	1618
720	4168	1613
721	4175	1607
722	4181	1601
723	4186	1595
724	4191	1589
725	4198	1584
726	4204	1578
727	4209	1572
728	4215	1567
729	4220	1561
730	4226	1555
731	4231	1549
732	4237	1543
733	4242	1537
734	4248	1531
735	4254	1525
736	4260	1520
737	4265	1514
738	4271	1508
739	4276	1502
740	4282	1496
741	4287	1490
742	4292	1484
743	4298	1479
744	4304	1473
745	4310	1467
746	4315	1461
747	4321	1455
748	4327	1450
749	4332	1444
750	4337	1438
751	4343	1432
752	4349	1426
753	4355	1421
754	4361	1415
755	4366	1409
756	4372	1403
757	4377	1397
758	4383	1391
759	4389	1386
760	4394	1380
761	4400	1374
762	4405	1368
763	4410	1362
764	4415	1356
765	4420	1350
766	4426	1344
767	4432	1339
768	4437	1333
769	4443	1327
770	4449	1321
771	4455	1315
772	4460	1309
773	4466	1304
774	4472	1298
775	4477	1292
776	4483	1286
777	4488	1280
778	4493	1274
779	4499	1269
780	4505	1263
781	4511	1257
782	4516	1251
783	4521	1245
784	4527	1239
785	4532	1234
786	4537	1228
787	4544	1222
788	4550	1216
789	4555	1210
790	4560	1205
791	4566	1199
792	4572	1193
793	4578	1187
794	4583	1181
795	4589	1176
796	4594	1170
797	4600	1164
798	4606	1158
799	4611	1152
800	4616	1147
801	4622	1141
802	4628	1135
803	4634	1129
804	4641	1124
805	4646	1118
806	4652	1112
807	4657	1106
808	4663	1101
809	4669	1095
810	4674	1089
811	4680	1083
812	4685	1077
813	4691	1071
814	4696	1066
815	4701	1060
816	4706	1054
817	4713	1048
818	4718	1042
819	4723	1036
820	4729	1031
821	4734	1025
822	4741	1019
823	4746	1013
824	4752	1008
825	4757	1002
826	4763	996
827	4768	990
828	4774	984
829	4780	979
830	4785	973
831	4791	967
832	4797	961
833	4802	955
834	4807	950
835	4813	944
836	4818	938
837	4824	932
838	4829	926
839	4836	921
840	4841	915
841	4846	909
842	4852	903
843	4857	897
844	4863	892
845	4868	886
846	4874	880
847	4880	874
848	4886	869
849	4891	863
850	4897	857
851	4903	851
852	4910	846
853	4916	840
854	4921	834
855	4927	828
856	4932	823
857	4939	817
858	4944	811
859	4950	805
860	4955	800
861	4961	794
862	4967	788
863	4972	782
864	4978	776
865	4983	771
866	4988	765
867	4993	759
868	4999	753
869	5004	747
870	5009	741
871	5015	736
872	5020	730
873	5026	724
874	5033	719
875	5038	713
876	5044	707
877	5049	701
878	5056	696
879	5061	690
880	5068	684
881	5073	678
882	5078	672
883	5084	667
884	5091	661
885	5096	655
886	5101	649
887	5107	644
888	5113	638
889	5118	632
890	5123	626
891	5130	621
892	5135	615
893	5141	609
894	5146	603
895	5152	598
896	5158	592
897	5162	586
898	5168	580
899	5173	574
900	5178	568
901	5183	563
902	5188	557
903	5194	551
904	5199	545
905	5205	540
906	5210	534
907	5215	528
908	5220	522
909	5226	516
910	5232	511
911	5238	505
912	5243	499
913	5249	493
914	5254	488
915	5259	482
916	5265	476
917	5270	470
918	5275	464
919	5280	459
920	5286	453
921	5292	447
922	5298	441
923	5303	436
924	5309	430
925	5315	424
926	5320	419
927	5327	413
928	5332	407
929	5338	401
930	5343	396
931	5349	390
932	5354	384
933	5360	378
934	5365	373
935	5371	367
936	5377	361
937	5383	355
938	5388	350
939	5394	344
940	5400	338
941	5405	332
942	5411	327
943	5416	321
944	5423	315
945	5429	309
946	5434	304
947	5440	298
948	5446	292
949	5451	286
950	5457	281
951	5463	275
952	5468	269
953	5474	263
954	5479	258
955	5485	252
956	5490	246
957	5496	240
958	5502	235
959	5507	229
960	5513	223
961	5519	218
962	5525	212
963	5531	206
964	5536	200
965	5542	195
966	5548	189
967	5553	183
968	5559	177
969	5565	172
970	5571	166
971	5577	160
972	5582	154
973	5587	149
974	5593	143
975	5599	137
976	5604	131
977	5610	126
978	5615	120
979	5621	114
980	5627	108
981	5632	103
982	5638	97
983	5643	91
984	5648	86
985	5654	80
986	5659	74
987	5664	68
988	5670	63
989	5676	57
990	5681	51
991	5687	45
992	5693	40
993	5699	34
994	5705	28
995	5711	22
996	5717	17
997	5723	11
998	5728	5
999	5733	0
