iter	RMSE
157	612.1961333
158	611.5898995
159	611.3741897
160	611.109476
161	610.8396294
162	610.554693
163	610.0040923
164	609.7644017
165	609.5006572
166	609.0048228
167	608.8355581
168	608.6584655
169	608.516072
170	608.0819815
171	607.8637527
172	607.2580936
173	606.6363302
174	606.5016514
175	606.3845264
176	606.1984378
177	605.9231528
178	605.7805576
179	605.3802735
180	605.2195118
181	604.8023476
182	604.3160632
183	604.0002233
184	603.8356463
185	603.7246887
186	603.5626239
187	603.3889586
188	603.2353897
189	603.1145299
190	602.6587582
191	602.5333493
192	602.4089309
193	602.2368896
194	602.1200339
195	601.90283
196	601.4215098
197	601.3159953
198	601.1711736
199	600.8858405
200	600.6931711
201	600.476581
202	600.3406523
203	600.1577691
204	600.0282576
205	599.8253376
206	599.7330113
207	599.5995042
208	599.3522125
209	599.1842904
210	598.9455974
211	598.5208847
212	598.3144872
213	598.1304451
214	597.9954668
215	597.8953122
216	597.679382
217	597.2879556
218	596.9799406
219	596.8050611
220	596.6226258
221	596.4777527
222	596.2672512
223	596.0157043
224	595.8174601
225	595.4733205
226	595.345356
227	595.2659604
228	595.1394362
229	594.9457605
230	594.6206598
231	594.5195725
232	594.1693596
233	594.0241071
234	593.938553
235	593.6559211
236	593.5501115
237	593.4187165
238	593.239391
239	593.0907867
240	592.7540366
241	592.6102948
242	592.537731
243	592.2388489
244	592.140712
245	592.0392924
246	591.9423276
247	591.7532901
248	591.6758109
249	591.408524
250	591.0032442
251	590.7904302
252	590.6569178
253	590.5213222
254	590.3524593
255	590.2514492
256	589.761357
257	589.631159
258	589.4749889
259	589.3252
260	589.2187531
261	589.1244363
262	588.9951065
263	588.8625443
264	588.6773685
265	588.5585218
266	588.4422002
267	588.3751942
268	588.1523785
269	588.0826417
270	587.9728096
271	587.870171
272	587.7881326
273	587.6189865
274	587.4950882
275	587.3712578
276	587.1867922
277	587.0745204
278	587.0015182
279	586.9285973
280	586.8354323
281	586.6900668
282	586.5694343
283	586.4339493
284	586.3606826
285	586.2623351
286	586.1595705
287	586.0048729
288	585.9027138
289	585.793334
290	585.695703
291	585.5668609
292	585.4855901
293	585.4528046
294	585.3594657
295	585.1977603
296	584.9636317
297	584.8872626
298	584.7576285
299	584.6916525
300	584.6417468
301	584.5708626
302	584.4773111
303	584.3267902
304	584.0512867
305	583.8830016
306	583.7599732
307	583.705226
308	583.6057732
309	583.5141712
310	583.4509471
311	583.0223747
312	582.9748145
313	582.89198
314	582.814189
315	582.7369428
316	582.6627139
317	582.4662495
318	582.3744008
319	582.175896
320	581.9895377
321	581.8288871
322	581.770671
323	581.6929351
324	581.4256631
325	581.2483153
326	581.1538533
327	581.0933701
328	581.0267179
329	580.9184247
330	580.8588649
331	580.7471023
332	580.6785195
333	580.6094662
334	580.5394153
335	580.4248763
336	580.3248138
337	580.2628918
338	580.1268507
339	580.066201
340	579.9036385
341	579.8226736
342	579.742621
343	579.6785027
344	579.5645093
345	579.1789902
346	579.0131254
347	578.9066569
348	578.8703184
349	578.8291031
350	578.7369227
351	578.6339056
352	578.5138303
353	578.4017416
354	578.2543982
355	578.1924374
356	578.1681273
357	578.0202117
358	577.9306495
359	577.8428021
360	577.7363176
361	577.5027361
362	577.4036734
363	577.317432
364	577.1834886
365	577.1548705
366	577.0372876
367	576.9471045
368	576.9027408
369	576.8348144
370	576.7567401
371	576.6459277
372	576.5835534
373	576.5024896
374	576.4535235
375	576.4110099
376	576.3225149
377	576.2745121
378	576.1721677
379	576.106512
380	575.9944325
381	575.8762105
382	575.7693864
383	575.6707293
384	575.6088939
385	575.4001553
386	575.3163163
387	575.2728294
388	575.2015411
389	575.0793739
390	574.9871022
391	574.9063591
392	574.8373813
393	574.7996672
394	574.6902837
395	574.6119384
396	574.5449263
397	574.4958162
398	574.4731062
399	574.4043589
400	574.3246316
401	574.2995782
402	574.1729549
403	574.1236641
404	574.0805508
405	573.9360941
406	573.8669068
407	573.8031981
408	573.7620888
409	573.7205083
410	573.6410542
411	573.576887
412	573.5572701
413	573.4795899
414	573.4177004
415	573.3282041
416	573.2746001
417	573.1543414
418	573.1142428
419	573.0655049
420	572.9725126
421	572.9004698
422	572.7984913
423	572.7842274
424	572.7117085
425	572.6670384
426	572.6444408
427	572.5908592
428	572.4371667
429	572.3169068
430	572.298098
431	572.2386944
432	572.2055042
433	572.1028555
434	571.9825145
435	571.9532374
436	571.9030955
437	571.8444165
438	571.8298088
439	571.7497775
440	571.6374848
441	571.5634696
442	571.5063428
443	571.4434582
444	571.2878465
445	571.2737613
446	571.2020666
447	571.1205577
448	571.0244327
449	570.9228078
450	570.8603552
451	570.7999349
452	570.7018037
453	570.6749325
454	570.578332
455	570.5677669
456	570.435107
457	570.3896424
458	570.2793774
459	570.2744876
460	570.2265161
461	570.215886
462	570.1543223
463	570.1430853
464	570.0407323
465	569.9709084
466	569.9263283
467	569.8592476
468	569.7983287
469	569.7032099
470	569.6293827
471	569.5533138
472	569.5315188
473	569.4350036
474	569.4069948
475	569.3397388
476	569.2740342
477	569.2373235
478	569.1990546
479	569.1470953
480	569.1183469
481	568.9930403
482	568.897744
483	568.8222897
484	568.739356
485	568.6759482
486	568.608533
487	568.5413475
488	568.4471722
489	568.3918699
490	568.3607319
491	568.3249044
492	568.2810097
493	568.1839947
494	568.0879799
495	567.96598
496	567.890188
497	567.8441419
498	567.7948686
499	567.7069465
500	567.6450049
501	567.6180311
502	567.5483601
503	567.4200882
504	567.2469592
505	567.1449503
506	567.0657267
507	566.9553037
508	566.9025274
509	566.819177
510	566.7628766
511	566.7256964
512	566.6925858
513	566.6182553
514	566.482771
515	566.4212458
516	566.4068186
517	566.3295594
518	566.2900463
519	566.1463638
520	566.0962391
521	566.0595425
522	566.0397935
523	566.021161
524	565.9798685
525	565.9147382
526	565.8640284
527	565.8322506
528	565.8060954
529	565.6497875
530	565.6137259
531	565.5886158
532	565.5049017
533	565.5002956
534	565.4813632
535	565.4550398
536	565.3187522
537	565.2282178
538	565.1431883
539	565.1016908
540	565.0855796
541	565.0611471
542	564.9630119
543	564.9168093
544	564.8686886
545	564.7917891
546	564.7321886
547	564.6994846
548	564.6103307
549	564.5195546
550	564.4622056
551	564.3314852
552	564.2398734
553	564.1316677
554	564.1279309
555	564.06922
556	564.0452678
557	563.9824989
558	563.903033
559	563.8584289
560	563.8187279
561	563.7080989
562	563.6440024
563	563.6345477
564	563.5882496
565	563.5475221
566	563.4732801
567	563.406008
568	563.3709467
569	563.3384147
570	563.2753262
571	563.2223141
572	563.1909344
573	563.1587826
574	563.1126437
575	563.0638227
576	563.0453175
577	563.0119857
578	562.9957833
579	562.9080031
580	562.895702
581	562.8775086
582	562.7974651
583	562.624584
584	562.5501763
585	562.4579533
586	562.4031321
587	562.3197007
588	562.2391603
589	562.1997708
590	562.1890569
591	562.1794329
592	562.1571248
593	562.084478
594	562.0163759
595	561.9934709
596	561.96402
597	561.9015219
598	561.8877593
599	561.8379345
600	561.7869548
601	561.7316725
602	561.6033683
603	561.5335863
604	561.4420995
605	561.3965976
606	561.3822219
607	561.3132649
608	561.2746509
609	561.2009242
610	561.1632049
611	561.1161463
612	561.081449
613	561.0182524
614	560.9797123
615	560.9549436
616	560.8947551
617	560.8115892
618	560.7712993
619	560.7110775
620	560.6972867
621	560.6570752
622	560.5636316
623	560.5299723
624	560.4764955
625	560.3967423
626	560.3024217
627	560.2383593
628	560.194473
629	560.1411286
630	560.0596792
631	560.0497032
632	559.9283776
633	559.8715958
634	559.813424
635	559.7640986
636	559.7468475
637	559.6919803
638	559.6772666
639	559.6502362
640	559.6062809
641	559.5346159
642	559.4783314
643	559.4675876
644	559.4545898
645	559.3005693
646	559.2795815
647	559.2490717
648	559.2291761
649	559.1327473
650	559.1003332
651	559.0632277
652	559.044338
653	559.0045437
654	558.9548139
655	558.9039371
656	558.8836304
657	558.7749555
658	558.7009772
659	558.6535784
660	558.5595506
661	558.5345287
662	558.4928419
663	558.3798553
664	558.3299994
665	558.2830833
666	558.0576821
667	558.0204941
668	557.9848327
669	557.9045196
670	557.8674248
671	557.7879568
672	557.764462
673	557.7480196
674	557.7420038
675	557.7061104
676	557.6484186
677	557.5380876
678	557.4850775
679	557.4418005
680	557.3605438
681	557.309301
682	557.2777409
683	557.2466087
684	557.2152038
685	557.1837568
686	557.1466812
687	557.1213301
688	557.0946274
689	557.0557816
690	557.0140894
691	556.9770313
692	556.9028421
693	556.8516613
694	556.8105365
695	556.7390893
696	556.6530555
697	556.633878
698	556.5570885
699	556.5336299
700	556.460708
701	556.4025357
702	556.3033552
703	556.274053
704	556.1991459
705	556.1752645
706	556.0811302
707	555.9972907
708	555.9619795
709	555.9446573
710	555.8983412
711	555.819842
712	555.7859146
713	555.7649911
714	555.6845062
715	555.6441216
716	555.6193758
717	555.5762205
718	555.5699585
719	555.5596695
720	555.4729236
721	555.402342
722	555.3529021
723	555.3464717
724	555.2847213
725	555.2780868
726	555.2475437
727	555.2172072
728	555.1994318
729	555.1336308
730	555.0739902
731	555.058158
732	554.9866395
733	554.9123789
734	554.8946176
735	554.8870572
736	554.8466538
737	554.7981857
738	554.7488482
739	554.7290184
740	554.7182686
741	554.6623192
742	554.6321049
743	554.5875477
744	554.5620081
745	554.4809614
746	554.44869
747	554.4243326
748	554.3743162
749	554.263288
750	554.1913313
751	554.1560386
752	554.1020987
753	554.0810229
754	554.0376134
755	554.0025862
756	553.9714962
757	553.9470089
758	553.8498653
759	553.8175386
760	553.6986891
761	553.6781412
762	553.6486498
763	553.6280172
764	553.5750282
765	553.5632475
766	553.5457366
767	553.5237254
768	553.5008059
769	553.4733064
770	553.4129524
771	553.3557207
772	553.3211846
773	553.2644803
774	553.2319267
775	553.2201806
776	553.1588938
777	553.1311864
778	553.1015288
779	553.060538
780	552.9923301
781	552.9789129
782	552.9578663
783	552.9334601
784	552.8722061
785	552.7880024
786	552.7576039
787	552.7339022
788	552.7103081
789	552.6068349
790	552.558117
791	552.4492449
792	552.3907355
793	552.32578
794	552.3131971
795	552.264955
796	552.2186935
797	552.1485201
798	552.1213333
799	552.0432476
800	551.9742183
801	551.9330918
802	551.9004773
803	551.8130818
804	551.7990622
805	551.705249
806	551.6546077
807	551.5927077
808	551.574624
809	551.5457491
810	551.4864422
811	551.4086932
812	551.3676251
813	551.3289779
814	551.264113
815	551.2226416
816	551.1748026
817	551.1106654
818	551.0703105
819	550.9770315
820	550.9276292
821	550.8665751
822	550.800514
823	550.789855
824	550.7353275
825	550.7004585
826	550.6782309
827	550.6178223
828	550.5703266
829	550.5359602
830	550.4623121
831	550.4368485
832	550.4171475
833	550.4075936
834	550.3904958
835	550.3813645
836	550.363129
837	550.3517101
838	550.3163445
839	550.3010291
840	550.2775172
841	550.2252371
842	550.1952043
843	550.06381
844	550.0511969
845	550.028536
846	549.9737413
847	549.9401215
848	549.8992411
849	549.8587813
850	549.8333656
851	549.8223098
852	549.7960942
853	549.7223702
854	549.7026418
855	549.6128799
856	549.4615254
857	549.4286858
858	549.3823463
859	549.3097914
860	549.2545475
861	549.2340425
862	549.2134898
863	549.174354
864	549.1144068
865	549.0303099
866	548.9939757
867	548.9343069
868	548.86827
869	548.8053595
870	548.7879681
871	548.7749214
872	548.7213844
873	548.6707816
874	548.5892651
875	548.5258891
876	548.4796842
877	548.3664208
878	548.3290505
879	548.2602989
880	548.1723628
881	548.1387215
882	548.0993414
883	548.0618329
884	548.0116382
885	547.912754
886	547.8668772
887	547.8503086
888	547.7820388
889	547.7588329
890	547.6586968
891	547.6071965
892	547.5480282
893	547.4895602
894	547.4136759
895	547.341566
896	547.2917569
897	547.2289073
898	547.1939252
899	547.1353589
900	547.0855611
901	547.0545228
902	547.0359427
903	546.9025543
904	546.8535853
905	546.7328321
906	546.7206065
907	546.6833261
908	546.6379466
909	546.5942437
910	546.5285586
911	546.5264847
912	546.4527391
913	546.378306
914	546.3321179
915	546.3302621
916	546.2366883
917	546.2137603
918	546.1422744
919	546.113861
920	546.0611146
921	546.0124009
922	545.9403265
923	545.9236286
924	545.8989682
925	545.8826101
926	545.832038
927	545.7459438
928	545.6572134
929	545.6096047
930	545.5782657
931	545.5122688
932	545.4879969
933	545.4738179
934	545.4548054
935	545.417525
936	545.3643268
937	545.3279729
938	545.2814258
939	545.2133088
940	545.1751163
941	545.1606244
942	545.1016487
943	545.06718
944	545.0080113
945	544.9735993
946	544.9510754
947	544.8970941
948	544.8575763
949	544.761674
950	544.7446493
951	544.6867855
952	544.6575605
953	544.5902451
954	544.5423504
955	544.4747455
956	544.4654358
957	544.4045282
958	544.3664606
959	544.3615593
960	544.2872805
961	544.2621825
962	544.1878983
963	544.1332373
964	544.101426
965	544.0860627
966	544.0764981
967	543.9971057
968	543.9581525
969	543.9341744
970	543.9064337
971	543.8716849
972	543.8153237
973	543.8035196
974	543.7585078
975	543.7270233
976	543.6568661
977	543.6047169
978	543.5775901
979	543.5471526
980	543.5064525
981	543.4829455
982	543.207753
983	543.1831455
984	543.1350968
985	543.0988268
986	543.0490453
987	543.0166919
988	542.9217104
989	542.8907914
990	542.8652244
991	542.8064116
992	542.7481209
993	542.6549345
994	542.6300883
995	542.5801369
996	542.351678
997	542.3027231
998	542.2854181
999	542.2388451
