iter	Passed	Remaining
312	2125	4665
313	2131	4657
314	2138	4649
315	2144	4641
316	2151	4634
317	2158	4629
318	2164	4621
319	2171	4614
320	2177	4606
321	2184	4599
322	2191	4592
323	2198	4586
324	2204	4579
325	2211	4572
326	2217	4564
327	2223	4556
328	2231	4550
329	2237	4542
330	2244	4535
331	2250	4527
332	2256	4520
333	2264	4514
334	2270	4507
335	2277	4500
336	2283	4492
337	2291	4488
338	2297	4480
339	2304	4472
340	2310	4466
341	2317	4458
342	2324	4451
343	2330	4444
344	2336	4436
345	2343	4429
346	2350	4422
347	2356	4414
348	2362	4406
349	2368	4399
350	2375	4392
351	2381	4384
352	2389	4379
353	2395	4372
354	2402	4364
355	2408	4357
356	2414	4349
357	2421	4342
358	2427	4334
359	2434	4328
360	2440	4320
361	2447	4313
362	2453	4306
363	2460	4298
364	2466	4291
365	2472	4283
366	2478	4275
367	2486	4270
368	2492	4262
369	2499	4255
370	2506	4248
371	2512	4241
372	2518	4234
373	2525	4227
374	2531	4219
375	2538	4212
376	2544	4204
377	2551	4197
378	2557	4189
379	2563	4182
380	2569	4175
381	2576	4168
382	2583	4162
383	2590	4155
384	2596	4148
385	2604	4142
386	2610	4135
387	2617	4128
388	2623	4121
389	2630	4114
390	2637	4107
391	2643	4100
392	2650	4093
393	2657	4086
394	2663	4079
395	2670	4072
396	2676	4064
397	2683	4058
398	2689	4050
399	2695	4043
400	2702	4036
401	2708	4029
402	2715	4022
403	2721	4015
404	2728	4008
405	2735	4001
406	2741	3994
407	2748	3987
408	2754	3980
409	2761	3974
410	2768	3967
411	2774	3959
412	2781	3953
413	2787	3946
414	2794	3938
415	2800	3931
416	2807	3925
417	2814	3918
418	2821	3912
419	2827	3904
420	2833	3897
421	2839	3889
422	2846	3882
423	2852	3874
424	2858	3866
425	2864	3859
426	2870	3851
427	2877	3845
428	2883	3838
429	2890	3831
430	2896	3823
431	2902	3816
432	2909	3809
433	2915	3802
434	2922	3795
435	2928	3787
436	2934	3780
437	2940	3773
438	2947	3766
439	2954	3759
440	2960	3752
441	2966	3744
442	2973	3738
443	2980	3731
444	2986	3725
445	2992	3717
446	2999	3710
447	3005	3703
448	3011	3695
449	3017	3688
450	3024	3681
451	3030	3674
452	3036	3667
453	3043	3660
454	3050	3653
455	3055	3645
456	3062	3638
457	3068	3631
458	3075	3625
459	3082	3618
460	3088	3610
461	3094	3603
462	3101	3596
463	3107	3589
464	3113	3581
465	3119	3575
466	3126	3567
467	3132	3560
468	3138	3553
469	3145	3546
470	3151	3539
471	3157	3532
472	3164	3525
473	3171	3519
474	3178	3513
475	3185	3506
476	3191	3499
477	3198	3492
478	3204	3485
479	3210	3478
480	3217	3471
481	3223	3464
482	3230	3457
483	3236	3450
484	3242	3443
485	3249	3436
486	3255	3429
487	3261	3421
488	3268	3415
489	3275	3408
490	3281	3401
491	3288	3395
492	3294	3388
493	3301	3381
494	3307	3374
495	3314	3367
496	3320	3360
497	3327	3353
498	3333	3347
499	3340	3340
500	3346	3333
501	3352	3326
502	3359	3319
503	3366	3312
504	3373	3306
505	3379	3299
506	3386	3292
507	3393	3286
508	3399	3279
509	3405	3271
510	3412	3265
511	3418	3258
512	3426	3252
513	3433	3246
514	3439	3238
515	3445	3231
516	3451	3224
517	3458	3218
518	3465	3211
519	3472	3205
520	3478	3198
521	3485	3191
522	3491	3184
523	3497	3177
524	3504	3170
525	3510	3163
526	3517	3156
527	3523	3149
528	3529	3142
529	3535	3135
530	3542	3128
531	3548	3121
532	3555	3115
533	3562	3108
534	3568	3101
535	3575	3095
536	3582	3088
537	3588	3081
538	3594	3074
539	3600	3067
540	3606	3059
541	3613	3053
542	3619	3046
543	3626	3039
544	3632	3032
545	3639	3026
546	3645	3019
547	3651	3011
548	3658	3005
549	3665	2999
550	3672	2992
551	3678	2985
552	3685	2978
553	3691	2972
554	3698	2965
555	3704	2957
556	3710	2951
557	3717	2944
558	3723	2937
559	3729	2930
560	3735	2923
561	3742	2916
562	3749	2910
563	3755	2903
564	3763	2897
565	3769	2890
566	3775	2883
567	3782	2876
568	3788	2869
569	3795	2863
570	3802	2857
571	3809	2850
572	3815	2843
573	3821	2836
574	3828	2829
575	3835	2823
576	3841	2815
577	3846	2808
578	3853	2801
579	3860	2795
580	3866	2788
581	3872	2781
582	3879	2774
583	3885	2767
584	3892	2761
585	3899	2754
586	3905	2747
587	3912	2741
588	3918	2734
589	3925	2727
590	3931	2720
591	3937	2713
592	3943	2706
593	3950	2699
594	3958	2694
595	3964	2687
596	3970	2680
597	3976	2673
598	3983	2666
599	3989	2659
600	3996	2653
601	4002	2646
602	4009	2639
603	4015	2632
604	4022	2626
605	4029	2619
606	4035	2612
607	4041	2606
608	4048	2599
609	4055	2592
610	4062	2586
611	4068	2579
612	4075	2572
613	4081	2565
614	4087	2559
615	4094	2552
616	4100	2545
617	4107	2538
618	4113	2532
619	4120	2525
620	4125	2518
621	4131	2511
622	4138	2504
623	4144	2497
624	4151	2490
625	4158	2484
626	4165	2477
627	4172	2471
628	4178	2464
629	4184	2457
630	4191	2451
631	4197	2444
632	4204	2437
633	4210	2430
634	4217	2424
635	4223	2417
636	4230	2410
637	4237	2404
638	4243	2397
639	4250	2390
640	4256	2384
641	4263	2377
642	4269	2370
643	4275	2363
644	4281	2356
645	4287	2349
646	4294	2342
647	4300	2336
648	4306	2329
649	4312	2322
650	4319	2315
651	4325	2308
652	4332	2302
653	4338	2295
654	4345	2288
655	4352	2282
656	4359	2276
657	4366	2269
658	4372	2262
659	4378	2255
660	4385	2249
661	4391	2242
662	4398	2235
663	4404	2228
664	4411	2222
665	4417	2215
666	4424	2208
667	4430	2201
668	4436	2195
669	4443	2188
670	4450	2181
671	4456	2175
672	4463	2168
673	4469	2161
674	4476	2155
675	4482	2148
676	4489	2141
677	4495	2134
678	4501	2128
679	4507	2121
680	4514	2114
681	4520	2107
682	4526	2100
683	4532	2093
684	4539	2087
685	4545	2080
686	4553	2074
687	4560	2068
688	4567	2061
689	4574	2055
690	4582	2049
691	4588	2042
692	4595	2035
693	4601	2028
694	4608	2022
695	4614	2015
696	4621	2008
697	4627	2002
698	4633	1995
699	4640	1988
700	4648	1982
701	4655	1976
702	4663	1970
703	4669	1963
704	4675	1956
705	4682	1949
706	4688	1943
707	4695	1936
708	4701	1929
709	4707	1922
710	4713	1916
711	4720	1909
712	4726	1902
713	4732	1895
714	4740	1889
715	4747	1882
716	4752	1875
717	4759	1869
718	4765	1862
719	4771	1855
720	4777	1848
721	4783	1841
722	4789	1835
723	4795	1828
724	4801	1821
725	4807	1814
726	4813	1807
727	4819	1800
728	4825	1794
729	4832	1787
730	4838	1780
731	4846	1774
732	4852	1767
733	4859	1760
734	4865	1754
735	4871	1747
736	4877	1740
737	4883	1733
738	4889	1726
739	4897	1720
740	4904	1714
741	4910	1707
742	4916	1700
743	4923	1694
744	4929	1687
745	4936	1680
746	4943	1674
747	4949	1667
748	4955	1660
749	4962	1654
750	4968	1647
751	4975	1640
752	4981	1634
753	4988	1627
754	4995	1621
755	5002	1614
756	5008	1607
757	5014	1601
758	5021	1594
759	5028	1588
760	5036	1581
761	5044	1575
762	5052	1569
763	5058	1562
764	5064	1555
765	5070	1548
766	5076	1542
767	5082	1535
768	5088	1528
769	5094	1521
770	5100	1514
771	5107	1508
772	5114	1501
773	5120	1495
774	5125	1488
775	5133	1481
776	5141	1475
777	5147	1468
778	5154	1462
779	5160	1455
780	5166	1448
781	5172	1441
782	5179	1435
783	5185	1428
784	5191	1421
785	5198	1415
786	5204	1408
787	5210	1401
788	5216	1395
789	5222	1388
790	5229	1381
791	5236	1375
792	5242	1368
793	5248	1361
794	5255	1355
795	5261	1348
796	5267	1341
797	5273	1334
798	5279	1328
799	5285	1321
800	5291	1314
801	5298	1308
802	5304	1301
803	5310	1294
804	5316	1287
805	5322	1281
806	5329	1274
807	5335	1267
808	5342	1261
809	5349	1254
810	5354	1247
811	5360	1241
812	5367	1234
813	5373	1227
814	5379	1221
815	5386	1214
816	5392	1207
817	5398	1201
818	5404	1194
819	5410	1187
820	5415	1180
821	5422	1174
822	5429	1167
823	5435	1161
824	5441	1154
825	5447	1147
826	5453	1140
827	5459	1134
828	5465	1127
829	5472	1120
830	5477	1114
831	5483	1107
832	5491	1100
833	5497	1094
834	5506	1088
835	5512	1081
836	5519	1074
837	5526	1068
838	5534	1061
839	5541	1055
840	5549	1049
841	5556	1042
842	5564	1036
843	5570	1029
844	5577	1023
845	5583	1016
846	5590	1009
847	5597	1003
848	5603	996
849	5610	990
850	5616	983
851	5625	977
852	5632	970
853	5638	963
854	5645	957
855	5651	950
856	5658	944
857	5665	937
858	5671	930
859	5678	924
860	5685	917
861	5692	911
862	5699	904
863	5705	898
864	5712	891
865	5719	885
866	5727	878
867	5733	871
868	5740	865
869	5747	858
870	5753	852
871	5760	845
872	5767	838
873	5774	832
874	5780	825
875	5786	819
876	5793	812
877	5800	805
878	5806	799
879	5813	792
880	5820	786
881	5826	779
882	5832	772
883	5839	766
884	5845	759
885	5851	752
886	5857	746
887	5863	739
888	5870	732
889	5876	726
890	5882	719
891	5889	713
892	5895	706
893	5902	699
894	5908	693
895	5915	686
896	5923	680
897	5929	673
898	5935	666
899	5942	660
900	5948	653
901	5955	647
902	5961	640
903	5968	633
904	5974	627
905	5981	620
906	5987	613
907	5993	607
908	6000	600
909	6006	594
910	6012	587
911	6019	580
912	6026	574
913	6033	567
914	6040	561
915	6046	554
916	6052	547
917	6059	541
918	6065	534
919	6071	527
920	6078	521
921	6085	514
922	6091	508
923	6097	501
924	6103	494
925	6110	488
926	6117	481
927	6125	475
928	6131	468
929	6138	462
930	6144	455
931	6151	448
932	6157	442
933	6163	435
934	6170	428
935	6177	422
936	6183	415
937	6189	409
938	6195	402
939	6201	395
940	6207	389
941	6214	382
942	6221	376
943	6227	369
944	6234	362
945	6240	356
946	6247	349
947	6253	343
948	6260	336
949	6266	329
950	6273	323
951	6280	316
952	6287	310
953	6293	303
954	6300	296
955	6306	290
956	6313	283
957	6320	277
958	6327	270
959	6334	263
960	6340	257
961	6346	250
962	6352	244
963	6359	237
964	6365	230
965	6372	224
966	6379	217
967	6385	211
968	6392	204
969	6398	197
970	6404	191
971	6412	184
972	6418	178
973	6425	171
974	6431	164
975	6437	158
976	6443	151
977	6450	145
978	6457	138
979	6463	131
980	6469	125
981	6476	118
982	6482	112
983	6489	105
984	6495	98
985	6501	92
986	6509	85
987	6515	79
988	6522	72
989	6528	65
990	6535	59
991	6541	52
992	6547	46
993	6553	39
994	6559	32
995	6566	26
996	6574	19
997	6581	13
998	6587	6
999	6594	0
